zp_m,df_hz
-3.8630970428642976e-07,-5.2521116344905749
-3.8628470458687144e-07,-5.2146660323160177
-3.8625970488731313e-07,-5.1820904900523601
-3.8623470518775481e-07,-5.1729841743508587
-3.862097054881965e-07,-5.1480753882060526
-3.8618470578863818e-07,-5.1380595778027782
-3.8615970608907986e-07,-5.099740008063236
-3.8613470638952155e-07,-5.0760917247316684
-3.8610970668996323e-07,-5.0585484245857515
-3.8608470699040492e-07,-5.0375433602312114
-3.860597072908466e-07,-5.0108965865547361
-3.8603470759128829e-07,-4.9722345352165576
-3.8600970789172997e-07,-4.9490694209453068
-3.8598470819217166e-07,-4.9419412562201614
-3.8595970849261334e-07,-4.8964267307383125
-3.8593470879305503e-07,-4.8889248205341573
-3.8590970909349671e-07,-4.8544634978497925
-3.8588470939393839e-07,-4.8497909688194341
-3.8585970969438008e-07,-4.8350386805395829
-3.8583470999482176e-07,-4.8031054689090524
-3.8580971029526345e-07,-4.7861377083791012
-3.8578471059570513e-07,-4.7659924007348309
-3.8575971089614682e-07,-4.7308688522207376
-3.857347111965885e-07,-4.7360430244225427
-3.8570971149703019e-07,-4.7062144403753337
-3.8568471179747187e-07,-4.6812118625894072
-3.8565971209791356e-07,-4.6664169417454104
-3.8563471239835524e-07,-4.6434294631580997
-3.8560971269879692e-07,-4.6121854779812566
-3.8558471299923861e-07,-4.6050686819398834
-3.8555971329968029e-07,-4.5690171646128874
-3.8553471360012198e-07,-4.549994514491118
-3.8550971390056366e-07,-4.5351796984505199
-3.8548471420100535e-07,-4.5165037931838015
-3.8545971450144703e-07,-4.4947114474780392
-3.8543471480188872e-07,-4.4766295559384162
-3.854097151023304e-07,-4.4555676481650153
-3.8538471540277209e-07,-4.428467548223125
-3.8535971570321377e-07,-4.4051688519175514
-3.8533471600365545e-07,-4.3962501194982906
-3.8530971630409714e-07,-4.3862044663001143
-3.8528471660453882e-07,-4.3662211623995972
-3.8525971690498051e-07,-4.3496044099811115
-3.8523471720542219e-07,-4.3345693256924278
-3.8520971750586388e-07,-4.3103156599499926
