zp_m,df_hz
-3.880780289672668e-07,-4.7426240712411527
-3.8805302926770848e-07,-4.7291166538343532
-3.8802802956815017e-07,-4.7040884965099394
-3.8800302986859185e-07,-4.66525733600065
-3.8797803016903354e-07,-4.673739795180154
-3.8795303046947522e-07,-4.6334136527548253
-3.879280307699169e-07,-4.6338655579347687
-3.8790303107035859e-07,-4.5974019258210319
-3.8787803137080027e-07,-4.5794465108883742
-3.8785303167124196e-07,-4.579082713007665
-3.8782803197168364e-07,-4.5406949311654898
-3.8780303227212533e-07,-4.5368437895376701
-3.8777803257256701e-07,-4.5031129047856666
-3.877530328730087e-07,-4.4816815147896705
-3.8772803317345038e-07,-4.4634688833866676
-3.8770303347389207e-07,-4.4502655782707734
-3.8767803377433375e-07,-4.4543099875227199
-3.8765303407477543e-07,-4.406408038448717
-3.8762803437521712e-07,-4.402717479479179
-3.876030346756588e-07,-4.3782122816082847
-3.8757803497610049e-07,-4.363674577234633
-3.8755303527654217e-07,-4.343800696915423
-3.8752803557698386e-07,-4.326349767325155
-3.8750303587742554e-07,-4.3128395077474124
-3.8747803617786723e-07,-4.2881310946540907
-3.8745303647830891e-07,-4.2841207914534607
-3.874280367787506e-07,-4.2432716895746125
-3.8740303707919228e-07,-4.2488338181101426
-3.8737803737963396e-07,-4.2208171180391219
-3.8735303768007565e-07,-4.2055646076732955
-3.8732803798051733e-07,-4.2065721572726034
-3.8730303828095902e-07,-4.1691293972689891
-3.872780385814007e-07,-4.1270936890214216
-3.8725303888184239e-07,-4.138306053391716
-3.8722803918228407e-07,-4.1348798163198808
-3.8720303948272576e-07,-4.0943334056464664
-3.8717803978316744e-07,-4.090682637070131
-3.8715304008360913e-07,-4.0777649701340124
-3.8712804038405081e-07,-4.0479505969415186
-3.8710304068449249e-07,-4.0422463598588365
-3.8707804098493418e-07,-4.0319520167031442
-3.8705304128537586e-07,-4.0248011146104545
-3.8702804158581755e-07,-3.9956248087946733
-3.8700304188625923e-07,-3.9859202161096619
-3.8697804218670092e-07,-3.9668492490818608
-3.869530424871426e-07,-3.9377340499413549
-3.8692804278758429e-07,-3.9414970842699404
-3.8690304308802597e-07,-3.9215905189848854
-3.8687804338846766e-07,-3.9044934396770259
-3.8685304368890934e-07,-3.8949863778725557
-3.8682804398935102e-07,-3.8703518612237531
-3.8680304428979271e-07,-3.8724465412087739
-3.8677804459023439e-07,-3.8352254705387168
-3.8675304489067608e-07,-3.8329304175022116
-3.8672804519111776e-07,-3.8185859807526867
-3.8670304549155945e-07,-3.813887872183841
-3.8667804579200113e-07,-3.7826737298018998
-3.8665304609244282e-07,-3.7625369486704585
-3.866280463928845e-07,-3.7557015275524464
-3.8660304669332619e-07,-3.7312048561943811
-3.8657804699376787e-07,-3.7461305169017578
-3.8655304729420955e-07,-3.7165435173847072
-3.8652804759465124e-07,-3.6955128734916798
